case,z_mm,focal_mm,baseline_mm,frames,sigma_px,marker_scale,tcp_offset_mm,visible_markers,disparity_bias_px,baseline_error_ppm,frame_correlation,trials,valid,valid_percent,tcp_rms_mm,tcp_p95_mm,tcp_sample_max_mm,origin_p95_mm,angle_p95_deg,sample_max_below_90um
previous_base,3000,12,600,30,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.07065361334625568,0.12353665576004709,0.24941025557171975,0.027235155793691856,0.023945439893637212,False
larger_marker_only,3000,12,600,30,0.03,1.5,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.04779353731049194,0.08180235902525304,0.1659677266170765,0.027156386677446454,0.01598444000885688,False
candidate_3m,3000,16,600,60,0.03,1.5,150,6,0.0,0.0,0.0,3000,3000,100.0,0.013970023312233166,0.02295928042870373,0.044427734167201624,0.014401712154666102,0.008476834781075252,True
candidate_2_5m,2500,16,600,60,0.03,1.5,150,6,0.0,0.0,0.0,3000,3000,100.0,0.00967825559334589,0.01589262513746267,0.030620746182270488,0.009997564535745195,0.005885991022666531,True
candidate_2m_fov,2000,16,600,60,0.03,1.5,150,6,0.0,0.0,0.0,3000,1953,65.10000000000001,0.00613471839817558,0.010118873165779068,0.01937512542581288,0.006367029688447334,0.0037734081865196576,True
candidate_correlated,3000,16,600,60,0.03,1.5,150,6,0.0,0.0,0.1,3000,3000,100.0,0.03669623892635826,0.060313930242969445,0.11671121734666878,0.037830862726306216,0.022267762028385044,False
candidate_small_bias,3000,16,600,60,0.03,1.5,150,6,-0.005,10,0.0,3000,3000,100.0,0.048310154403624905,0.060488636588180454,0.07723823164881019,0.05867897254360502,0.008470075109589744,True
candidate_combined_stress,3000,16,600,60,0.03,1.5,150,6,-0.005,10,0.1,3000,3000,100.0,0.059206120790702116,0.08814890053192191,0.1436698805416748,0.07901278218576437,0.022251544540258864,False
candidate_previous_bias,3000,16,600,60,0.03,1.5,150,6,-0.03,50,0.0,3000,3000,100.0,0.2471977849955762,0.2600950013339277,0.2699737957340679,0.2596300867657086,0.008491123991275077,False
candidate_four_markers,3000,16,600,60,0.03,1.5,150,4,0.0,0.0,0.0,3000,3000,100.0,0.01675237823789237,0.028484384753642344,0.04943555297288506,0.017287801250909025,0.010073262532867718,True
