case,z_mm,focal_mm,baseline_mm,frames,sigma_px,marker_scale,tcp_offset_mm,visible_markers,disparity_bias_px,baseline_error_ppm,frame_correlation,trials,valid,valid_percent,tcp_rms_mm,tcp_p95_mm,tcp_sample_max_mm,origin_p95_mm,angle_p95_deg
near_2m,2000,12,600,30,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.03139768759725047,0.054817168402043655,0.10966861330163784,0.01212184077405106,0.010660740172995608
base_3m,3000,12,600,30,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.07065361334625568,0.12353665576004709,0.24941025557171975,0.027235155793691856,0.023945439893637212
far_4m,4000,12,600,30,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.1256738841599757,0.21886173423124233,0.44579187111459634,0.0483325700960114,0.042662917051465646
single_frame,3000,12,600,1,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.386983926136624,0.677207965215478,1.3670012826380458,0.14918415452510897,0.13119771939203154
noisy_centroid,3000,12,600,30,0.1,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.23551148280567571,0.41196964603119496,0.8316618672340375,0.09078736120291057,0.07983183523131102
short_baseline,3000,12,400,30,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.10582599982332615,0.1844748471386232,0.37505914192901807,0.0407441689905014,0.03597812407596135
lens_16mm,3000,16,600,30,0.03,1.0,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.052990222804796594,0.09264813162460799,0.18705056812621793,0.020426282267383213,0.017958748829028166
small_marker,3000,12,600,30,0.03,0.5,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.14007856961744825,0.2468274381068382,0.4987401277490095,0.027269327028185852,0.04786873870043154
large_marker,3000,12,600,30,0.03,1.5,300.0,6,0.0,0.0,0.0,3000,3000,100.0,0.04779353731049194,0.08180235902525304,0.1659677266170765,0.027156386677446454,0.01598444000885688
long_tool,3000,12,600,30,0.03,1.0,600,6,0.0,0.0,0.0,3000,3000,100.0,0.1398237291553915,0.24682710856381268,0.49699766265284817,0.027235155793691856,0.023945439893637212
four_markers,3000,12,600,30,0.03,1.0,300.0,4,0.0,0.0,0.0,3000,3000,100.0,0.08365648010022135,0.1489771789890678,0.2700393168935977,0.03264424975191943,0.028501761115836605
three_markers_rejected,3000,12,600,30,0.03,1.0,300.0,3,0.0,0.0,0.0,3000,0,0.0,,,,,
disparity_bias,3000,12,600,30,0.03,1.0,300.0,6,0.03,0.0,0.0,3000,3000,100.0,0.1463605061801976,0.1900168984252248,0.25915860332559887,0.15140954889161876,0.023997360850052996
baseline_bias,3000,12,600,30,0.03,1.0,300.0,6,0.0,50,0.0,3000,3000,100.0,0.1658109047764084,0.20940743362122236,0.3388360733037342,0.17364103056304236,0.023945439837313152
