No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,30,100nF,"C1,C4,C11,C12,C14,C21,C29,C32,C52,C55,C63,C70,C73,C74,C90,C96,C104,C105,C113,C124,C128,C134,C139,C140,C144,C145,C153,C155,C169,C181",C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC
2,4,22uF,"C2,C3,C20,C31",C0805,22uF,CL21A226MAQNNNE,SAMSUNG(三星),C45783,LCSC
3,4,10uF,"C5,C6,C143,C146",C1210,10uF,TCC1210X5R106K101MT,CCTC(三环),C51892808,LCSC
4,1,100nF,C7,C0805,100nF,CL21B104KCFNNNE,SAMSUNG(三星),C28233,LCSC
5,2,10nF,"C8,C22",C1206,10nF,FM31X103K631ECG,PSA(信昌电陶),C382232,LCSC
6,1,47pF,C9,C0603,47pF,CL10C470JB8NNNC,SAMSUNG(三星),C1671,LCSC
7,1,22nF,C10,C0603,22nF,CL10B223KB8NNNC,SAMSUNG(三星),C21122,LCSC
8,5,1uF,"C13,C38,C148,C150,C157",C0402,1uF,CL05A105KA5NQNC,SAMSUNG(三星),C52923,LCSC
9,3,100nF,"C15,C19,C26",C0603,100nF,CT41G-0603-2X1-50V-0.1μF-K(N),TORCH(火炬),C125205,LCSC
10,2,10uF,"C16,C182",C0603,10uF,HGC0603R5106M350NTHJ,Chinocera(华瓷),C22367827,LCSC
11,1,22uF,C17,C0805,22uF,CGA0805X5R226M350MT,HRE(芯声),C6119901,LCSC
12,1,1uF,C18,C0603,1uF,CC0603KRX7R9BB105,YAGEO(国巨),C559769,LCSC
13,3,22uF,"C23,C24,C25",C2220,22uF,FS55X226K101LRG,PSA(信昌电陶),C7499406,LCSC
14,1,100pF,C27,C0603,100pF,CC0603JRNPO9BN101,YAGEO(国巨),C14665,LCSC
15,2,47uF,"C28,C30",C0805,47uF,CL21A476MQYNNNE,SAMSUNG(三星),C16780,LCSC
16,18,100nF,"C33,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C85,C147,C149,C152,C154,C156",C0402,100nF,CL05B104KB54PNC,SAMSUNG(三星),C307331,LCSC
17,2,10pF,"C34,C35",C0402,10pF,CC0402CG50V100JN,TORCH(火炬),C53084475,LCSC
18,2,6.8pF,"C36,C37",C0402,6.8pF,0402CG6R8C500NT,FH(风华),C1576,LCSC
19,6,100nF,"C50,C80,C84,C118,C119,C123",C0402,100nF,CC0402KRX7R8BB104,YAGEO(国巨),C105883,LCSC
20,6,2.2uF,"C51,C59,C65,C69,C101,C103",C1210,2.2uF,CC1210X7R100V225KN,TORCH(火炬),C54916862,LCSC
21,18,1nF,"C53,C54,C57,C58,C61,C66,C67,C72,C75,C77,C88,C108,C125,C126,C127,C129,C130,C131",C0603,1nF,CL10B102KB8NNNC,SAMSUNG(三星),C1588,LCSC
